+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                           ;
+-------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                       ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; _8to16|oddEvenMerge[1].merge4to8_1|finalComparators[1].comparator_0                             ; 16    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; _8to16|oddEvenMerge[1].merge4to8_1|oddEvenMerge[1].merge2to4_1|finalComparators[0].comparator_2 ; 16    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; _8to16|oddEvenMerge[1].merge4to8_1|oddEvenMerge[1].merge2to4_1|oddEvenMerge[1].comparator_1     ; 16    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; _8to16|oddEvenMerge[1].merge4to8_1|oddEvenMerge[1].merge2to4_1|oddEvenMerge[0].comparator_0     ; 16    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; _8to16|oddEvenMerge[1].merge4to8_1|oddEvenMerge[1].merge2to4_1                                  ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; _8to16|oddEvenMerge[1].merge4to8_1|oddEvenMerge[0].merge2to4_0|finalComparators[0].comparator_2 ; 16    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; _8to16|oddEvenMerge[1].merge4to8_1|oddEvenMerge[0].merge2to4_0|oddEvenMerge[1].comparator_1     ; 16    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; _8to16|oddEvenMerge[1].merge4to8_1|oddEvenMerge[0].merge2to4_0|oddEvenMerge[0].comparator_0     ; 16    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; _8to16|oddEvenMerge[1].merge4to8_1|oddEvenMerge[0].merge2to4_0                                  ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; _8to16|oddEvenMerge[1].merge4to8_1                                                              ; 64    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; _8to16|oddEvenMerge[0].merge4to8_0|finalComparators[3].comparator_0                             ; 16    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; _8to16|oddEvenMerge[0].merge4to8_0|finalComparators[2].comparator_0                             ; 16    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; _8to16|oddEvenMerge[0].merge4to8_0|finalComparators[1].comparator_0                             ; 16    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; _8to16|oddEvenMerge[0].merge4to8_0|oddEvenMerge[1].merge2to4_1|finalComparators[0].comparator_2 ; 16    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; _8to16|oddEvenMerge[0].merge4to8_0|oddEvenMerge[1].merge2to4_1|oddEvenMerge[1].comparator_1     ; 16    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; _8to16|oddEvenMerge[0].merge4to8_0|oddEvenMerge[1].merge2to4_1|oddEvenMerge[0].comparator_0     ; 16    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; _8to16|oddEvenMerge[0].merge4to8_0|oddEvenMerge[1].merge2to4_1                                  ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; _8to16|oddEvenMerge[0].merge4to8_0|oddEvenMerge[0].merge2to4_0|finalComparators[0].comparator_2 ; 16    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; _8to16|oddEvenMerge[0].merge4to8_0|oddEvenMerge[0].merge2to4_0|oddEvenMerge[1].comparator_1     ; 16    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; _8to16|oddEvenMerge[0].merge4to8_0|oddEvenMerge[0].merge2to4_0|oddEvenMerge[0].comparator_0     ; 16    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; _8to16|oddEvenMerge[0].merge4to8_0|oddEvenMerge[0].merge2to4_0                                  ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; _8to16|oddEvenMerge[0].merge4to8_0                                                              ; 64    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; _8to16|register                                                                                 ; 132   ; 0              ; 0            ; 0              ; 128    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; _8to16                                                                                          ; 132   ; 0              ; 0            ; 0              ; 128    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; _4to8|finalComparators[3].comparator_0                                                          ; 16    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; _4to8|finalComparators[2].comparator_0                                                          ; 16    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; _4to8|finalComparators[1].comparator_0                                                          ; 16    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; _4to8|oddEvenMerge[1].merge2to4_1|finalComparators[0].comparator_2                              ; 16    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; _4to8|oddEvenMerge[1].merge2to4_1|oddEvenMerge[1].comparator_1                                  ; 16    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; _4to8|oddEvenMerge[1].merge2to4_1|oddEvenMerge[0].comparator_0                                  ; 16    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; _4to8|oddEvenMerge[1].merge2to4_1                                                               ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; _4to8|oddEvenMerge[0].merge2to4_0|finalComparators[0].comparator_2                              ; 16    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; _4to8|oddEvenMerge[0].merge2to4_0|oddEvenMerge[1].comparator_1                                  ; 16    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; _4to8|oddEvenMerge[0].merge2to4_0|oddEvenMerge[0].comparator_0                                  ; 16    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; _4to8|oddEvenMerge[0].merge2to4_0                                                               ; 32    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; _4to8|register                                                                                  ; 68    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; _4to8                                                                                           ; 68    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
+-------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
